Spanish,English
dice,it says
hoy,today
tres,three
buena,good
necesito,needed
dije,said
oye,hears
gusta,like
quería,wanted
será,be
haber,to have
parte,part
todas,all
crees,you think
buen,good
conmigo,with me
nombre,Name
mierda,shit
nuestra,our
mal,evil
debe,should
realmente,Really
estas,are
aún,yet
mío,Own
toda,all
hacerlo,do it
cada,every
visto,viewed
importa,import
contigo,with you
tienen,have
hemos,we have
razón,reason
alguna,some
tanto,so much
saber,to know
hizo,did
veces,times
serio,I laughed
ven,come
idea,idea
eh,Hey
tarde,afternoon
problema,trouble
hora,hour
cierto,certain
dicho,saying
quien,who
demasiado,too
amor,love
entre,Come in
ve,go
pasado,past
familia,family
estos,these
policía,police
debería,should
ustedes,your
chica,girl
esos,those
chicos,Boys
cuenta,bill
haces,you do
todavía,yet
salir,leave
algún,some
vaya,Wow
unos,some
veo,I see
amigos,friends
hermano,brother
pensé,I thought
sabía,I knew
cabeza,head
ah,ah
cariño,Dear
digo,say
van,go
hombres,mens
buenas,good
somos,are
cualquier,any
forma,shape
mientras,While
lado,side
debo,I must
sería,would
caso,case
pueden,they can
pasó,I pass
primera,first
genial,great
chico,guy
supuesto,assumption
hice,I did
pues,well
adiós,bye
muchas,many
personas,people
señora,Lady
